time	V(quada)	V(quadb)
2.563820301291593e-07	-1.820396e+00	1.844839e+00
2.564705953213572e-07	-1.832537e+00	1.857059e+00
2.566477257057528e-07	-1.856970e+00	1.881650e+00
2.570019864745442e-07	-1.906421e+00	1.931416e+00
2.577105080121270e-07	-2.006417e+00	2.032040e+00
2.577110673122579e-07	-2.006497e+00	2.032120e+00
2.577116266123888e-07	-2.006576e+00	2.032201e+00
2.577121859125197e-07	-2.006656e+00	2.032281e+00
2.577127452126506e-07	-2.006737e+00	2.032362e+00
2.577133045127815e-07	-2.006817e+00	2.032442e+00
2.577138638129125e-07	-2.006897e+00	2.032523e+00
2.577144231130434e-07	-2.006978e+00	2.032604e+00
2.577180026338812e-07	-2.007491e+00	2.033120e+00
2.577753770086125e-07	-2.015723e+00	2.041404e+00
2.578327513833436e-07	-2.023974e+00	2.049705e+00
2.578901257580748e-07	-2.032242e+00	2.058024e+00
2.579475001328060e-07	-2.040528e+00	2.066361e+00
2.580048745075372e-07	-2.048832e+00	2.074715e+00
2.580622488822684e-07	-2.057154e+00	2.083088e+00
2.581196232569996e-07	-2.065494e+00	2.091478e+00
2.583083955419323e-07	-2.093083e+00	2.119233e+00
2.586859401117976e-07	-2.148627e+00	2.175108e+00
2.587803262542639e-07	-2.162615e+00	2.189179e+00
2.589690985391966e-07	-2.190827e+00	2.217556e+00
2.593466431090620e-07	-2.247594e+00	2.274652e+00
2.594410292515283e-07	-2.261873e+00	2.289014e+00
2.594646257871449e-07	-2.265459e+00	2.292620e+00
2.595118188583781e-07	-2.272640e+00	2.299842e+00
2.596062050008444e-07	-2.287020e+00	2.314305e+00
2.596145965533545e-07	-2.288301e+00	2.315593e+00
2.596313796583746e-07	-2.290864e+00	2.318171e+00
2.596649458684148e-07	-2.295995e+00	2.323331e+00
2.596971848693268e-07	-2.300927e+00	2.328290e+00
2.597007933952951e-07	-2.301479e+00	2.328846e+00
2.597080104472318e-07	-2.302584e+00	2.329957e+00
2.597224445511051e-07	-2.304795e+00	2.332181e+00
2.597513127588516e-07	-2.309221e+00	2.336631e+00
2.597795640609396e-07	-2.313555e+00	2.340990e+00
2.598148842191139e-07	-2.318980e+00	2.346445e+00
2.598611855650465e-07	-2.326100e+00	2.353606e+00
2.599145677434853e-07	-2.334323e+00	2.361875e+00
2.599803209702279e-07	-2.344474e+00	2.372083e+00
2.601048720687645e-07	-2.363776e+00	2.391493e+00
2.603539742658378e-07	-2.402664e+00	2.430596e+00
2.608521786599843e-07	-2.480993e+00	2.509354e+00
2.608963899237806e-07	-2.487992e+00	2.516391e+00
2.609848124513731e-07	-2.502075e+00	2.530550e+00
2.611616575065583e-07	-2.530307e+00	2.558933e+00
2.611773509497638e-07	-2.532818e+00	2.561458e+00
2.612087378361750e-07	-2.537851e+00	2.566518e+00
2.612715116089972e-07	-2.547929e+00	2.576650e+00
2.613679975295143e-07	-2.563450e+00	2.592252e+00
2.614644834500313e-07	-2.579021e+00	2.607906e+00
2.615609693705484e-07	-2.594644e+00	2.623611e+00
2.616574552910655e-07	-2.610318e+00	2.639368e+00
2.617539412115826e-07	-2.626044e+00	2.655176e+00
2.618504271320996e-07	-2.641821e+00	2.671035e+00
